date,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,moor_duration,berth_duration,stay_duration,20000_berth_num,30000_berth_num,40000_berth_num,50000_berth_num,60000_berth_num,20000_moor_num,30000_moor_num,40000_moor_num,50000_moor_num,60000_moor_num,20000_stay_num,30000_stay_num,40000_stay_num,50000_stay_num,60000_stay_num,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWindSpeed,DailyTempDifference,DailyPrecipitation,DailySnowDepth,DailySnowfall
2020/1/3,40.83333333,4.5,45.33333333,2545693.5,228932.1667,2774625.667,38.11597222,4.674861111,37.84055556,0,4.5,0,0,0,4.666666667,33.5,1.833333333,0.833333333,0,4.666666667,38,1.833333333,0.833333333,0,61,77,6,13,0,0,0
2020/1/4,26,9.166666667,35.16666667,1453108.5,642659.1667,2095767.667,37.93135593,10.6,37.55762712,0.5,8.5,0,0.166666667,0,2.666666667,20.66666667,2.666666667,0,0,3.166666667,29.16666667,2.666666667,0.166666667,0,55,56,5.2,6,0,0,0
2020/1/5,23.66666667,9.333333333,33,1263743.833,656635.3333,1920379.167,32.36523077,17.81676923,36.07092308,1,7.833333333,0,0.5,0,1.333333333,20,2.333333333,0,0,2.333333333,27.83333333,2.333333333,0.5,0,57,58,5.6,17,0,0,0
2020/1/6,25.16666667,8.333333333,33.5,1202403.667,435770.3333,1638174,28.04985075,15.98447761,33.19477612,1.666666667,4.833333333,0.166666667,1.666666667,0,1.833333333,21.33333333,1.166666667,0.833333333,0,3.5,26.16666667,1.333333333,2.5,0,60,69,4.8,29,0,0,0
2020/1/7,23.66666667,15,38.66666667,1187129,793666.8333,1980795.833,23.85666667,14.27638889,33.52625,3.5,9,1,1.5,0,1,21.5,0.166666667,1,0,4.5,30.5,1.166666667,2.5,0,55,44,5.9,34,0,0,0
2020/1/8,24,18.33333333,42.33333333,1116306.5,1002919.5,2119226,19.65191011,16.17764045,31.4152809,2.5,11.66666667,1.5,2.166666667,0.5,0.166666667,20.33333333,0.833333333,1.833333333,0.833333333,2.666666667,32,2.333333333,4,1.333333333,52,72,9.6,30,0,0,0
2020/1/9,22,19.5,41.5,951838.5,1035572.667,1987411.167,15.7727,11.4065,20.5345,3,10.83333333,3.5,1.666666667,0.5,0,19.16666667,0.666666667,1.5,0.666666667,3,30,4.166666667,3.166666667,1.166666667,68,79,13.5,27,0.005,0,0
2020/1/10,23.5,19.83333333,43.33333333,1031776.167,949725,1981501.167,11.69528846,13.24259615,18.98557692,3,12.16666667,3.333333333,1,0.333333333,0.166666667,21,1.166666667,1.166666667,0,3.166666667,33.16666667,4.5,2.166666667,0.333333333,73,80,18.1,33,0.19,0,0
2020/1/11,23.16666667,21.33333333,44.5,941463.5,936548.8333,1878012.333,14.90712963,16.82194444,24.52472222,2,12.33333333,4.333333333,2.666666667,0,0.166666667,20.83333333,1,1.166666667,0,2.166666667,33.16666667,5.333333333,3.833333333,0,54,71,10.5,15,0.92,0,0
2020/1/12,22.5,26.66666667,49.16666667,948189,1140103.833,2088292.833,16.67925926,22.61592593,32.46416667,3.333333333,16.66666667,3.833333333,2.833333333,0,0.166666667,20.33333333,1,1,0,3.5,37,4.833333333,3.833333333,0,46,83,5.9,6,0,0,0
