date,moor_num,berth_num,stay_num,total_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration,20501_moor_num,20501_berth_num,20501_stay_num,20502_moor_num,20502_berth_num,20502_stay_num,20503_moor_num,20503_berth_num,20503_stay_num,20504_moor_num,20504_berth_num,20504_stay_num,20506_moor_num,20506_berth_num,20506_stay_num,20508_moor_num,20508_berth_num,20508_stay_num,DailyAverageTemperature,DailyAverageRelativeHumidity,DailyAverageWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall
2020/1/3,0,1,1,2,0,34162,34162,0,3.1,3.1,0,3.1,3.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,5.4,0,0,0
2020/1/4,0.5,0.833333333,1.333333333,2.666666666,51834,42304,94138,3.62,8.758333333,12.38,3.62,8.758333333,9.568333333,0,0.666666667,0.666666667,0,0,0,0,0,0,0.5,0.166666667,0.666666667,0,0,0,0,0,0,47,82,3.4,0.15,0,0
2020/1/5,0.333333333,4,4.333333333,8.666666666,31406.5,434965,466371.5,2.575,35.77833333,55.24,2.575,7.902083333,11.27708333,0,0,0,0,0.5,0.5,0.166666667,0.5,0.666666667,0.166666667,2.333333333,2.5,0,0.666666667,0.666666667,0,0,0,46,90,4.4,0.27,0,0
2020/1/6,0.166666667,4.666666667,4.833333333,9.666666667,11286.16667,459902.5,471188.6667,0.051666667,83.05333333,91.115,0.051666667,17.96928571,18.604,0,0.166666667,0.166666667,0.166666667,1.333333333,1.5,0,0.166666667,0.166666667,0,2,2,0,1,1,0,0,0,39,48,11.3,0.005,0,0
2020/1/7,1.333333333,3.166666667,4.5,9,126916.8333,300949.6667,427866.5,10.51833333,52.7,63.22166667,6.925833333,16.63066667,14.27420635,0,0.666666667,0.666666667,0.833333333,0,0.833333333,0,0,0,0,2.166666667,2.166666667,0.5,0.333333333,0.833333333,0,0,0,39,62,6.1,0.04,0,0.2
2020/1/8,0,3.5,3.5,7,0,269481.5,269481.5,0,53.76,59.98666667,0,16.02152778,17.57819444,0,0.666666667,0.666666667,0,1.5,1.5,0,0,0,0,1.333333333,1.333333333,0,0,0,0,0,0,41,50,5.1,0.005,0,0
2020/1/9,0.166666667,1.666666667,1.833333333,3.666666667,17315.16667,118495,135810.1667,0.501666667,26.65333333,29.86166667,0.501666667,11.87444444,14.06194444,0,0.666666667,0.666666667,0,0.333333333,0.333333333,0,0,0,0.166666667,0.666666667,0.833333333,0,0,0,0,0,0,35,56,9.7,0.005,0,0.05
2020/1/10,0.166666667,4,4.166666667,8.333333334,17315,379321.6667,396636.6667,0.175,39.72166667,45.31666667,0.175,9.889583333,11.02344444,0,0,0,0,0.5,0.5,0,1,1,0.166666667,2.5,2.666666667,0,0,0,0,0,0,29,40,4.4,0,0,0
2020/1/11,0,5.666666667,5.666666667,11.33333333,0,622410.6667,622410.6667,0,93.20833333,93.20833333,0,16.79916667,16.79916667,0,0,0,0,0.333333333,0.333333333,0,0.833333333,0.833333333,0,3.5,3.5,0,1,1,0,0,0,44,68,6.3,0,0,0
2020/1/12,0,5.833333333,5.833333333,11.66666667,0,524228.3333,524228.3333,0,106.3666667,106.3666667,0,18.21865079,18.21865079,0,0,0,0,2.5,2.5,0,0.5,0.5,0,1.833333333,1.833333333,0,1,1,0,0,0,60,67,5.3,0,0,0
2020/1/13,0.2,4.2,4.4,8.8,27781.4,362408.2,390189.6,0.424,117.848,118.272,0.424,23.40918095,23.83318095,0,0,0,0,2,2,0,0.8,0.8,0,0.6,0.6,0.2,0.8,1,0,0,0,56,58,8.8,0.05,0,0
2020/1/14,0.166666667,2.5,2.666666667,5.333333334,23151.16667,242467,265618.1667,1.02,19.46833333,29.58833333,1.02,6.417777778,10.09194444,0,1,1,0,0,0,0,0,0,0,0.833333333,0.833333333,0.166666667,0.666666667,0.833333333,0,0,0,42,73,4.5,0,0,0
2020/1/15,0.166666667,6.833333333,7,14,2865.166667,611691.6667,614556.8333,0.386666667,97.99666667,116.76,0.386666667,14.30844246,16.73274802,0.166666667,1.666666667,1.833333333,0,1.5,1.5,0,1.166666667,1.166666667,0,0.833333333,0.833333333,0,1.666666667,1.666666667,0,0,0,43,82,3.8,0.07,0,0
2020/1/16,0,6.333333333,6.333333333,12.66666667,0,628098.8333,628098.8333,0,118.635,137.045,0,19.05024074,22.04166667,0,1.333333333,1.333333333,0,0.166666667,0.166666667,0,1.5,1.5,0,1.333333333,1.333333333,0,2,2,0,0,0,46,65,5.1,0.005,0,0
2020/1/17,0,6,6,12,0,627119,627119,0,120.3666667,125.1133333,0,20.38660714,21.0435119,0,0.166666667,0.166666667,0,0.666666667,0.666666667,0,0.833333333,0.833333333,0,3.666666667,3.666666667,0,0.666666667,0.666666667,0,0,0,41,62,10.2,0.11,0,0.05
2020/1/18,0,4.666666667,4.666666667,9.333333334,0,488765.8333,488765.8333,0,93.51,93.51,0,19.98769444,19.98769444,0,0,0,0,0.166666667,0.166666667,0,1,1,0,3.5,3.5,0,0,0,0,0,0,27,35,10.7,0,0,0
2020/1/19,0.166666667,5.166666667,5.333333333,10.66666667,12300,426024.8333,438324.8333,0.131666667,76.325,79.39,0.131666667,15.18292857,15.71805754,0,0,0,0.166666667,2.833333333,3,0,0.333333333,0.333333333,0,2,2,0,0,0,0,0,0,29,63,5,0.37,0,2.1
